ID,x0,y0,Label,Num channels,Feat0,Feat1,Feat2
342,130,1335,None,3,88,150,89
343,130,2007,None,3,110,190,89
344,131,1203,None,3,88,160,146
345,131,1238,None,3,79,129,195
346,131,1267,None,3,64,89,215
347,132,1127,None,3,83,115,128
348,132,1167,None,3,87,123,187
349,133,1026,None,3,82,71,167
350,133,1099,None,3,90,148,148
351,134,1052,None,3,90,150,113
352,135,723,None,3,108,168,70
353,135,959,None,3,108,183,88
354,136,312,None,3,96,148,75
355,136,1065,None,3,87,72,164
356,136,1204,None,3,82,140,151
357,136,1243,None,3,85,120,197
358,136,1862,None,3,153,105,110
359,137,821,None,3,107,175,102
360,138,437,None,3,102,184,93
361,138,467,None,3,106,186,108
362,138,644,None,3,107,178,90
363,138,661,None,3,92,170,103
364,138,1117,None,3,71,122,78
365,138,1181,None,3,63,64,254
366,139,1214,None,3,84,169,190
367,140,269,None,3,97,91,122
368,140,623,None,3,101,183,82
369,142,336,None,3,94,165,114
370,142,351,None,3,100,142,59
371,142,799,None,3,50,88,148
372,142,811,None,3,97,117,72
373,142,1205,None,3,82,96,191
374,142,1236,None,3,83,153,190
375,144,485,None,3,106,168,91
376,144,635,None,3,104,190,125
377,144,946,None,3,109,186,72
378,144,1190,None,3,97,35,252
379,144,1214,None,3,77,69,245
380,144,1229,None,3,87,91,252
381,145,510,None,3,111,167,83
382,146,321,None,3,45,55,100
383,147,656,None,3,109,175,75
384,148,686,None,3,82,110,141
385,148,770,None,3,89,92,103
386,150,1016,None,3,59,81,129
387,151,1005,None,3,100,145,64
388,152,297,None,3,97,79,125
389,152,624,None,3,101,84,139
390,152,1192,None,3,104,78,132
391,152,1203,None,3,62,111,198
392,152,1968,None,3,108,171,87
393,153,1829,None,3,109,182,75
394,154,632,None,3,80,106,79
395,154,1931,None,3,110,174,88
396,155,734,None,3,89,110,123
397,156,285,None,3,90,147,201
398,158,313,None,3,62,97,116
399,158,1183,None,3,100,168,114
400,159,990,None,3,104,180,90
401,159,1993,None,3,88,145,81
402,161,589,None,3,86,115,71
403,161,832,None,3,98,156,57
404,161,1151,None,3,0,0,255
405,162,432,None,3,99,164,77
406,162,972,None,3,110,173,55
407,162,1115,None,3,169,98,113
408,162,1231,None,3,137,128,124
409,162,1452,None,3,169,149,100
410,162,1844,None,3,108,181,71
411,163,1081,None,3,109,185,101
412,164,1381,None,3,108,181,93
413,166,1175,None,3,49,61,103
414,166,1297,None,3,95,149,100
415,167,453,None,3,106,188,116
416,168,489,None,3,61,74,124
417,170,1132,None,3,100,158,80
418,172,1976,None,3,115,89,84
419,175,419,None,3,92,170,106
420,175,613,None,3,80,147,102
421,176,525,None,3,97,152,68
422,177,1367,None,3,98,168,69
423,178,286,None,3,98,163,74
424,180,1309,None,3,103,166,74
425,181,346,None,3,96,152,55
426,182,771,None,3,106,166,68
427,183,309,None,3,108,176,72
428,183,1902,None,3,108,185,68
429,184,397,None,3,105,165,78
430,185,1269,None,3,141,157,110
431,186,593,None,3,84,86,108
